Club Name,Mail Ids,Instahandles
DOT.exe (Gaming Club),,
FASHION CLUB ,fashionclub@saiuniversity.edu.in,https://www.instagram.com/saiufashionclub/
Theatre club ,theatreclub@saiuniversity.edu.in,https://www.instagram.com/thetheatreclub/
Art Club,theartclub@saiuniversity.edu.in,https://www.instagram.com/saiuartclub/
Accretion (Astronomy club),astronomyclub@saiuniversity.edu.in,https://www.instagram.com/the.accretion/
DANCE CLUB,danceclub@saiuniversity.edu.in,https://www.instagram.com/saiudanceclub/
FOSS Club,fossclub@saiuniversity.edu.in,https://www.instagram.com/foss.saiu/
Sustainability Club,gardeningclub@saiuniversity.edu.in,https://www.instagram.com/sustainabilityclubsaiu/
Animal Welfare Society ,saiu.animalwelfare@saiuniversity.edu.in,https://www.instagram.com/saiuanimalwelfaresociety/
Oratory Club,oratoryclub@saiuniversity.edu.in,https://www.instagram.com/oratoryclubsaiu/
Literary Club,clubofliterature@saiuniversity.edu.in,
Photography Club,photographyclub@saiuniversity.edu.in,https://www.instagram.com/photographyclub_saiu/
Entrepreneurship Club,entrepreneurclub@saiuniversity.edu.in,https://www.instagram.com/saiu_entrepreneurshipclub/
Science Society ,saiu.sciencesociety@saiuniversity.edu.in,https://www.instagram.com/saiusciencesociety/
Creators Club,saiu.filmsociety@saiuniversity.edu.in,https://www.instagram.com/creators_club_saiuniversity/
Turingites,turingites@saiuniversity.edu.in,https://www.instagram.com/turingites/
Music Club ,musicclub@saiuniversity.edu.in,https://www.instagram.com/saiumusicclub/
Hacker-Rank SaiU Chapter,,https://www.instagram.com/hwi_saiu/
,,
Basketball ,,
Table Tennis Club,,
Chess Club ,,https://www.instagram.com/saiuchessclub/
Martial Arts Club ,martialartsclub@saiuniversity.edu.in,https://www.instagram.com/saiu.martialartsclub/
